data-3
id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_division,home_points,home_line_scores,home_post_win_prob,home_pregame_elo,home_postgame_elo,away_id,away_team,away_conference,away_division,away_points,away_line_scores,away_post_win_prob,away_pregame_elo,away_postgame_elo,excitement_index,highlights,notes
401403988,2022,3,regular,2022-09-17T19:30:00.000Z,FALSE,FALSE,FALSE,,3953,TCF Bank Stadium,135,Minnesota,Big Ten,fbs,,,,1710,,38,Colorado,Pac-12,fbs,,,,1267,,,,
401426333,2022,3,regular,2022-09-17T19:30:00.000Z,FALSE,FALSE,TRUE,,3792,Kidd Brewer Stadium,2026,Appalachian State,Sun Belt,fbs,,,,1656,,2653,Troy,Sun Belt,fbs,,,,1324,,,,
401426560,2022,3,regular,2022-09-17T19:30:00.000Z,FALSE,FALSE,FALSE,,7221,Protective Stadium,5,UAB,Conference USA,fbs,,,,1539,,290,Georgia Southern,Sun Belt,fbs,,,,1397,,,,
401403891,2022,3,regular,2022-09-17T19:30:00.000Z,FALSE,FALSE,FALSE,,3764,Brigham Field at Huskie Stadium,2459,Northern Illinois,Mid-American,fbs,,,,1378,,238,Vanderbilt,SEC,fbs,,,,1388,,,,
401414780,2022,3,regular,2022-09-17T19:30:00.000Z,FALSE,FALSE,FALSE,,3985,Warren McGuirk Alumni Stadium,113,UMass,FBS Independents,fbs,,,,909,,2619,Stony Brook,CAA,fcs,,,,,,,,
401403989,2022,3,regular,2022-09-17T19:30:00.000Z,FALSE,FALSE,FALSE,,3626,Autzen Stadium,2483,Oregon,Pac-12,fbs,,,,1467,,252,BYU,FBS Independents,fbs,,,,1691,,,,
401403882,2022,3,regular,2022-09-17T19:30:00.000Z,FALSE,FALSE,FALSE,,3785,Jordan-Hare Stadium,2,Auburn,SEC,fbs,,,,1632,,213,Penn State,Big Ten,fbs,,,,1750,,,,
401403886,2022,3,regular,2022-09-17T19:30:00.000Z,FALSE,FALSE,FALSE,,721,Bobby Dodd Stadium at Historic Grant Field,59,Georgia Tech,ACC,fbs,,,,1287,,145,Ole Miss,SEC,fbs,,,,1681,,,,
401404068,2022,3,regular,2022-09-17T20:00:00.000Z,FALSE,FALSE,FALSE,,4728,John O'Quinn Field at TDECU Stadium,248,Houston,American Athletic,fbs,,,,1612,,2305,Kansas,Big 12,fbs,,,,1242,,,,
401403880,2022,3,regular,2022-09-17T20:00:00.000Z,FALSE,FALSE,FALSE,,3657,Bryant Denny Stadium,333,Alabama,SEC,fbs,,,,2078,,2433,Louisiana Monroe,Sun Belt,fbs,,,,1121,,,,
401415218,2022,3,regular,2022-09-17T20:00:00.000Z,FALSE,FALSE,FALSE,,3653,Albertsons Stadium,68,Boise State,Mountain West,fbs,,,,1641,,2630,UT Martin,OVC,fcs,,,,,,,,
401415029,2022,3,regular,2022-09-17T21:00:00.000Z,FALSE,FALSE,FALSE,,3700,Doyt Perry Stadium,189,Bowling Green,Mid-American,fbs,,,,1167,,276,Marshall,Sun Belt,fbs,,,,1569,,,,
401403995,2022,3,regular,2022-09-17T21:00:00.000Z,FALSE,FALSE,FALSE,,3820,Martin Stadium,265,Washington State,Pac-12,fbs,,,,1602,,36,Colorado State,Mountain West,fbs,,,,1290,,,,
401404159,2022,3,regular,2022-09-17T21:00:00.000Z,FALSE,FALSE,FALSE,,3630,BB&T Field,154,Wake Forest,ACC,fbs,,,,1683,,2335,Liberty,FBS Independents,fbs,,,,1593,,,,
401411112,2022,3,regular,2022-09-17T22:00:00.000Z,FALSE,FALSE,FALSE,,3982,Wallace Wade Stadium,150,Duke,ACC,fbs,,,,1264,,2448,North Carolina A&T,Big South,fcs,,,,,,,,
401415621,2022,3,regular,2022-09-17T22:00:00.000Z,FALSE,FALSE,FALSE,,3699,Dowdy-Ficklen Stadium,151,East Carolina,American Athletic,fbs,,,,1572,,2097,Campbell,Big South,fcs,,,,,,,,
401403885,2022,3,regular,2022-09-17T22:00:00.000Z,FALSE,FALSE,TRUE,,3958,Tiger Stadium,99,LSU,SEC,fbs,,,,,,344,Mississippi State,SEC,fbs,,,,1632,,,,
401404075,2022,3,regular,2022-09-17T23:00:00.000Z,FALSE,FALSE,FALSE,,3646,Boone Pickens Stadium,197,Oklahoma State,Big 12,fbs,,,,1809,,2029,Arkansas-Pine Bluff,SWAC,fcs,,,,,,,,
401403889,2022,3,regular,2022-09-17T23:00:00.000Z,FALSE,FALSE,FALSE,,3853,Neyland Stadium,2633,Tennessee,SEC,fbs,,,,1768,,2006,Akron,Mid-American,fbs,,,,985,,,,
401415032,2022,3,regular,2022-09-17T23:00:00.000Z,FALSE,FALSE,FALSE,,3815,M. M. Roberts Stadium,2572,Southern Mississippi,Sun Belt,fbs,,,,1243,,2466,Northwestern State,Southland,fcs,,,,,,,,
401426557,2022,3,regular,2022-09-17T23:00:00.000Z,FALSE,FALSE,FALSE,,3725,"Johnny Red"""" Floyd Stadium""""",2393,Middle Tennessee,Conference USA,fbs,,,,1357,,2634,Tennessee State,OVC,fcs,,,,,,,,
401404072,2022,3,regular,2022-09-17T23:00:00.000Z,FALSE,FALSE,FALSE,,3670,Carter-Finley Stadium,152,NC State,ACC,fbs,,,,1630,,2641,Texas Tech,Big 12,fbs,,,,1541,,,,
401413216,2022,3,regular,2022-09-17T23:00:00.000Z,FALSE,FALSE,FALSE,,3674,Skelly Field at H. A. Chapman Stadium,202,Tulsa,American Athletic,fbs,,,,1498,,55,Jacksonville State,Atlantic Sun,fcs,,,,,,,,
401426554,2022,3,regular,2022-09-17T23:00:00.000Z,FALSE,FALSE,FALSE,,4246,Georgia State Stadium,2247,Georgia State,Sun Belt,fbs,,,,1456,,2429,Charlotte,Conference USA,fbs,,,,1128,,,,
401415622,2022,3,regular,2022-09-17T23:00:00.000Z,FALSE,FALSE,FALSE,,3805,Liberty Bowl Memorial Stadium,235,Memphis,American Athletic,fbs,,,,1494,,2032,Arkansas State,Sun Belt,fbs,,,,1218,,,,
401405088,2022,3,regular,2022-09-17T23:00:00.000Z,FALSE,FALSE,FALSE,,3861,Ohio Stadium,194,Ohio State,Big Ten,fbs,,,,1988,,2649,Toledo,Mid-American,fbs,,,,1622,,,,
401403881,2022,3,regular,2022-09-17T23:00:00.000Z,FALSE,FALSE,FALSE,,3887,Donald W. Reynolds Razorback Stadium Frank Broyles Field,8,Arkansas,SEC,fbs,,,,1667,,2623,Missouri State,MVFC,fcs,,,,,,,,
401426559,2022,3,regular,2022-09-17T23:30:00.000Z,FALSE,FALSE,FALSE,,3895,Rice Stadium,242,Rice,Conference USA,fbs,,,,1111,,309,Louisiana,Sun Belt,fbs,,,,1769,,,,
401411110,2022,3,regular,2022-09-17T23:30:00.000Z,FALSE,FALSE,FALSE,,3615,Alumni Stadium,103,Boston College,ACC,fbs,,,,1403,,311,Maine,CAA,fcs,,,,,,,,
401405087,2022,3,regular,2022-09-17T23:30:00.000Z,FALSE,FALSE,FALSE,,3665,Maryland Stadium,120,Maryland,Big Ten,fbs,,,,1617,,2567,SMU,American Athletic,fbs,,,,1684,,,,
401411115,2022,3,regular,2022-09-17T23:30:00.000Z,FALSE,FALSE,FALSE,,3980,Waldo Stadium,2711,Western Michigan,Mid-American,fbs,,,,1496,,221,Pittsburgh,ACC,fbs,,,,1655,,,,
401426555,2022,3,regular,2022-09-17T23:30:00.000Z,FALSE,FALSE,FALSE,,3715,FAU Stadium,2226,Florida Atlantic,Conference USA,fbs,,,,1487,,2116,UCF,American Athletic,fbs,,,,1553,,,,
401403994,2022,3,regular,2022-09-17T23:30:00.000Z,FALSE,FALSE,FALSE,,3765,Husky Stadium,264,Washington,Pac-12,fbs,,,,1584,,127,Michigan State,Big Ten,fbs,,,,1724,,,,
401403883,2022,3,regular,2022-09-17T23:30:00.000Z,FALSE,FALSE,FALSE,,3634,Ben Hill Griffin Stadium,57,Florida,SEC,fbs,,,,1558,,58,South Florida,American Athletic,fbs,,,,1222,,,,
401405082,2022,3,regular,2022-09-17T23:30:00.000Z,FALSE,FALSE,FALSE,,3793,Kinnick Stadium,2294,Iowa,Big Ten,fbs,,,,1623,,2440,Nevada,Mountain West,fbs,,,,1613,,,,
401403990,2022,3,regular,2022-09-18T00:00:00.000Z,FALSE,TRUE,FALSE,,3485,Providence Park,204,Oregon State,Pac-12,fbs,,,,1599,,147,Montana State,Big Sky,fcs,,,,,,,,
401426556,2022,3,regular,2022-09-18T00:00:00.000Z,FALSE,FALSE,FALSE,,3836,Memorial Stadium,228,Clemson,ACC,fbs,,,,1825,,2348,Louisiana Tech,Conference USA,fbs,,,,1238,,,,
401426562,2022,3,regular,2022-09-18T00:00:00.000Z,FALSE,FALSE,FALSE,,3910,Darrell K Royal-Texas Memorial Stadium,251,Texas,Big 12,fbs,,,,1711,,2636,UT San Antonio,Conference USA,fbs,,,,1522,,,,
401426561,2022,3,regular,2022-09-18T00:00:00.000Z,FALSE,FALSE,FALSE,,3971,University Stadium,167,New Mexico,Mountain West,fbs,,,,1203,,2638,UTEP,Conference USA,fbs,,,,1289,,,,
401403890,2022,3,regular,2022-09-18T01:00:00.000Z,FALSE,FALSE,FALSE,,3795,Kyle Field,245,Texas A&M,SEC,fbs,,,,1700,,2390,Miami,ACC,fbs,,,,1607,,,,
401403993,2022,3,regular,2022-09-18T02:00:00.000Z,FALSE,FALSE,FALSE,,587,Rice-Eccles Stadium,254,Utah,Pac-12,fbs,,,,1781,,21,San Diego State,Mountain West,fbs,,,,1474,,,,
401403992,2022,3,regular,2022-09-18T02:30:00.000Z,FALSE,FALSE,FALSE,,477,Los Angeles Memorial Coliseum,30,USC,Pac-12,fbs,,,,1633,,278,Fresno State,Mountain West,fbs,,,,1584,,,,
401403986,2022,3,regular,2022-09-18T03:00:00.000Z,FALSE,FALSE,FALSE,,3947,Sun Devil Stadium,9,Arizona State,Pac-12,fbs,,,,1588,,2199,Eastern Michigan,Mid-American,fbs,,,,1331,,,,
401403985,2022,3,regular,2022-09-18T03:00:00.000Z,FALSE,FALSE,FALSE,,3619,Arizona Stadium,12,Arizona,Pac-12,fbs,,,,1328,,2449,North Dakota State,MVFC,fcs,,,,,,,,
401415219,2022,3,regular,2022-09-18T03:59:00.000Z,FALSE,FALSE,FALSE,,7220,Clarence T.C. Ching Athletics Complex,62,Hawai'i,Mountain West,fbs,,,,1110,,2184,Duquesne,NEC,fcs,,,,,,,,
